,Date,Close_AAPL,Close_AMZN,Close_META,Close_MSFT,Close_ZM,High_AAPL,High_AMZN,High_META,High_MSFT,High_ZM,Low_AAPL,Low_AMZN,Low_META,Low_MSFT,Low_ZM,Open_AAPL,Open_AMZN,Open_META,Open_MSFT,Open_ZM,Volume_AAPL,Volume_AMZN,Volume_META,Volume_MSFT,Volume_ZM
132,2022-07-14,146.47816,110.63,157.44856,249.245,97.35,146.95172,111.18,161.97128,250.28482,101.44,141.3282,107.58,156.68149,241.2599,96.84,142.14706,110.24,160.60649,245.80179,101.35,78140700.0,51163100.0,23765200.0,25102800.0,5552600.0
133,2022-07-15,148.15533,113.55,164.07324,251.83478,99.85,148.83607,115.59,164.35217,255.41531,99.97,146.21176,111.59,159.21182,249.92189,96.11,147.77057,112.5,159.92906,250.8538,97.86,76259900.0,84317800.0,23342800.0,29774100.0,4714400.0
134,2022-07-18,145.09697,113.76,166.59361,249.41176,98.92,149.5366,117.24,171.03665,255.87636,102.18,144.73192,113.15,165.00967,248.47984,98.49,148.71773,115.0,166.11545,254.8071,101.98,81420900.0,59115400.0,23574300.0,20975000.0,6516500.0
135,2022-07-19,148.97423,118.21,175.1111,254.59131,102.08,149.20114,118.95,175.8184,254.7777,102.219,144.9391,114.03,168.86496,248.85263,97.65,145.93555,115.7,169.72168,252.6784,100.4,82982400.0,60990000.0,25933700.0,25012600.0,2829500.0
136,2022-07-20,150.98686,122.77,182.39325,257.27914,107.09,151.65775,123.48,182.90132,259.82968,109.87,148.35268,118.32,176.02757,253.9831,103.375,149.09262,118.62,176.81458,254.95425,103.49,64823400.0,71268300.0,24784300.0,22788300.0,4298100.0
137,2022-07-21,153.26585,124.63,182.47296,259.80026,110.85,153.48291,124.85,183.15038,259.84933,111.27,149.9016,121.26,178.18932,252.13889,107.3,152.42725,123.2,179.94263,254.84637,107.5,65086600.0,60239900.0,27195800.0,22404700.0,2982100.0
138,2022-07-22,152.02274,122.42,168.62587,255.4055,106.55,154.18335,125.5,174.93178,260.2809,112.95,151.35187,121.35,167.76913,254.14008,105.69,153.3053,125.01,172.4114,260.19266,111.0,66675400.0,51463800.0,42583900.0,21881300.0,2656800.0
139,2022-07-25,150.89807,121.14,166.01582,253.90462,106.1,152.96002,123.64,169.92091,256.52383,106.96,150.23706,120.03,164.18283,251.92307,103.91,151.94385,122.7,168.35689,256.03333,106.39,53623900.0,50221300.0,26166300.0,21056000.0,2039800.0
140,2022-07-26,149.56616,114.81,158.54437,247.10648,100.33,151.03616,118.15,165.36832,254.93463,105.13,148.77689,114.53,157.34894,244.82083,100.01,150.2173,115.79,165.30855,254.915,105.03,55138700.0,67075100.0,28468400.0,39348000.0,2878200.0
141,2022-07-27,154.68654,120.97,168.93468,263.626,105.91,155.2193,121.9,170.21976,264.91107,106.46,150.11867,117.16,161.40344,253.92422,100.55,150.53302,117.31,161.97127,256.19028,102.16,78620700.0,61582000.0,43846600.0,45994000.0,3182800.0
